epoch,train_loss,val_loss
1,0.3885851800441742,0.28040871024131775
2,0.22805607318878174,0.15795746445655823
3,0.19445791840553284,0.1440233588218689
4,0.2067982703447342,0.15698574483394623
5,0.18579919636249542,0.18059933185577393
6,0.18095041811466217,0.19086390733718872
7,0.2068811058998108,0.1683253049850464
8,0.21485450863838196,0.1474655270576477
9,0.19734486937522888,0.1749156266450882
10,0.20095029473304749,0.21833787858486176
11,0.19500941038131714,0.24063584208488464
12,0.21476022899150848,0.22933253645896912
13,0.20258772373199463,0.17318259179592133
