epoch,train_loss,val_loss
1,0.2783879041671753,0.1933785229921341
2,0.14077700674533844,0.07817744463682175
3,0.15199194848537445,0.08193531632423401
4,0.137038916349411,0.09265360981225967
5,0.12748770415782928,0.1392134577035904
6,0.13549846410751343,0.12999728322029114
7,0.11492504924535751,0.09833983331918716
8,0.11646115034818649,0.08630452305078506
9,0.11898883432149887,0.08842255920171738
10,0.10884220153093338,0.10203453153371811
11,0.10967660695314407,0.11307692527770996
12,0.10984915494918823,0.1141783595085144
