timestamp,predicted_throughput,predicted_latency
2022-07-22 04:00:00,29.32304576254679,77.58707495446308
2022-07-22 05:00:00,28.638531435251053,75.79274798301101
2022-07-22 06:00:00,27.5859217479042,78.54270575134531
2022-07-22 07:00:00,27.1892932569399,81.17041459173225
2022-07-22 08:00:00,27.198552498990285,81.1670912299866
2022-07-22 09:00:00,27.356772329524922,81.23873844400161
2022-07-22 10:00:00,27.184748340922958,81.37893394968735
2022-07-22 11:00:00,27.86882123698377,81.18992279892043
2022-07-22 12:00:00,28.530139742160593,81.18294115407825
2022-07-22 13:00:00,28.704265302565382,81.19402474900231
2022-07-22 14:00:00,28.706779455505988,81.18568237660857
2022-07-22 15:00:00,28.715651767935775,81.22786979705293
