timestamp,predicted_throughput,predicted_latency
2022-07-22 04:00:00,29.33151611712274,77.58707495446308
2022-07-22 05:00:00,28.636814132863947,75.79274798301101
2022-07-22 06:00:00,27.59090713461951,78.54270575134531
2022-07-22 07:00:00,27.1920985657288,81.17041459173225
2022-07-22 08:00:00,27.202717785600488,81.1670912299866
2022-07-22 09:00:00,27.360937616135125,81.23873844400161
2022-07-22 10:00:00,27.18891362753316,81.37893394968735
2022-07-22 11:00:00,27.872986523593973,81.18992279892043
2022-07-22 12:00:00,28.532781529995464,81.18294115407825
2022-07-22 13:00:00,28.708430589175585,81.19402474900231
2022-07-22 14:00:00,28.71094474211619,81.18568237660857
2022-07-22 15:00:00,28.720377294548747,81.22786979705293
