square_id,latitude,longitude,speed,svr1,upload_bitrate_mbps,download_bitrate_mbps,measurement_count,kmeans_cluster,dbscan_cluster
square_103079215125,-37.73100026388889,144.7450577361111,21.253063277777777,22.44126984126984,9.79392243756056,18.67097541373448,72,0,-1
square_103079215126,-37.72890937950938,144.74963177344878,39.26202318614718,85.73648648648648,10.785511811023625,25.068062992125984,693,0,-1
square_103079215128,-37.72499307692308,144.7595965769231,42.09599561538461,180.10444444444445,3.230769230769231,24.032884615384617,52,1,-1
square_103079215130,-37.72785366916859,144.76633186008468,7.673896016936105,271.6272244048995,8.631187451886067,14.875868956438843,5196,1,-1
square_103079215132,-37.72784464522848,144.77258260630126,7.794407105324828,235.60071942446044,9.3857336284338,16.59647211615919,7681,1,-1
square_103079215134,-37.72800845227129,144.78031811875732,15.950291377585115,76.80733070698466,12.23529900492706,16.921843300164234,11073,0,-1
square_103079215136,-37.72966523318022,144.7875924512294,14.06883184220481,28.935802907915992,14.126847168774052,14.085501998221892,3701,0,-1
square_103079215138,-37.72832478997472,144.79489377048938,12.378085655213448,40.54829340793845,13.882701807228916,22.827452410226844,6723,0,-1
square_103079215140,-37.728391152,144.8012439696296,9.829588498962964,51.68909578146611,12.35694826555024,28.4670110645933,6750,0,-1
square_103079215142,-37.7296605625599,144.8095459482483,11.556194636992863,108.36702899476306,10.498776916451336,21.876521498674364,9391,0,-1
square_103079215144,-37.73010272368421,144.81549877468672,14.539969843609024,324.072007569784,6.648396166939857,19.35410134332445,7980,1,-1
square_103079215147,-37.7292079464181,144.82353616109742,11.627544772892485,174.76592828464626,10.573709125250856,24.782767136129884,8529,0,-1
square_103079215151,-37.72591067467427,144.83714770114008,8.692070928338763,39.8118904507998,12.41085596707819,15.551078189300412,2456,0,-1
square_103079215153,-37.725453571428574,144.84588673195876,60.05624959646539,48.64899317406144,13.913405676126876,23.489866444073456,679,0,-1
square_103079215155,-37.72729514117309,144.84985848974506,37.904107274678935,55.71214798206278,13.741805220883537,26.901516929044305,10434,0,-1
square_103079215157,-37.725784366666666,144.85826025833333,40.142300633333335,56.19528846153847,5.027833333333334,20.154166666666665,120,1,-1
square_103079215180,-37.72180987201365,144.75112826279863,45.62557176109215,98.26659877800408,10.48499061913696,27.35932457786116,586,0,-1
square_103079215184,-37.72114298262402,144.76716533694284,8.019729451523546,413.3604126984127,4.164145051624276,18.952409657517,3971,1,-1
square_103079215186,-37.72062671133586,144.77211914412138,8.957875297654164,199.0607718696398,7.988691864549669,17.939718848246276,7119,1,-1
square_103079215188,-37.72061547568882,144.77919006482983,15.45508536420468,45.17895711368278,13.465443389673537,16.330157276532475,8638,0,-1
square_111669149696,-37.71847434722222,144.78932141468255,4.655373134920635,28.48416040100251,12.812301587301588,13.378968253968257,504,0,-1
square_111669149698,-37.721456224954,144.79467422227796,9.521889340692423,52.35960301707026,12.078862686067906,26.440665891819283,5979,0,-1
square_111669149700,-37.72112592269465,144.80083952153507,12.581292023191606,127.9590006844627,8.145640530093871,24.768178233710657,3622,0,-1
square_111669149702,-37.72079948309609,144.80690496263344,27.987218039145905,191.0621562156216,8.790480427046264,23.284386155749555,1124,1,-1
square_111669149706,-37.72059427962807,144.82433612147085,6.0603965051563815,305.9521437321356,8.302383730762728,21.391838670818007,11830,1,-1
square_111669149708,-37.72064283557847,144.83053503093296,9.35730212317756,76.08368087035358,13.14877638780297,20.19563178674397,18039,0,0
square_111669149710,-37.72136446421774,144.83614859535592,12.7111825228895,53.94262307692308,14.367046463450723,18.677415153906868,10508,0,-1
square_111669149712,-37.72331342226149,144.84317893462898,79.95198195759717,43.36647540983606,14.022302904564317,20.911384490080398,566,0,-1
square_111669149714,-37.720626927675504,144.85212977260773,51.567515499898846,113.93922747291988,8.983397169911692,24.96435245770827,9886,0,-1
square_111669149716,-37.72098729452486,144.85746448017622,23.976770562618,112.30644922164566,4.885687779910429,16.292931711852205,1589,1,-1
square_111669149740,-37.716338133802815,144.75397200704225,42.3074531830986,215.5920353982301,7.859677419354839,26.99806451612903,142,1,-1
square_111669149742,-37.711776742738586,144.75544380082988,42.17937684647303,217.623,7.699322799097066,21.4706053364842,482,1,-1
square_111669149744,-37.71381737118736,144.76811354466233,5.313553429193901,402.1483228163401,5.001225490196078,15.160316265829248,3672,1,-1
square_111669149746,-37.71337966818965,144.77244191543704,8.504460155194367,267.4661274197946,7.161035414165666,16.468840963631546,13351,1,-1
