square_id,latitude,longitude,mean_latency,std_latency,median_latency,mean_throughput,std_throughput,median_throughput,mean_transfer,mean_ul_dl_ratio,mean_speed,observation_count
square_103079215126,-37.72909184854015,144.74964435036497,85.89429744525548,65.1024478692162,63.95,36.62815693430657,17.734205065940998,37.25,4.364609089872263,0.6732258577858188,36.27703345255475,548
square_103079215128,-37.72497992682927,144.7595443902439,127.49756097560974,94.82871792818061,107.75,30.063658536585365,8.911778654145746,31.3,3.583170731707317,0.15719383359575112,40.79806936585366,41
square_103079215130,-37.725475459016394,144.76735557540985,181.57790983606557,121.10200231131442,168.25,26.073890176741802,16.043605055350955,23.55,3.107193423411885,0.38136390159509087,16.088308819672132,610
square_103079215132,-37.726336640616964,144.77274778868895,134.2611825192802,117.5462470754938,81.15,29.696043942802056,18.3730387488686,25.59,3.5387028839974293,0.701505142409673,12.29841690899743,1945
square_103079215134,-37.72790836720668,144.7804424513173,88.90401530027819,86.79311279273143,56.875,30.054468990345278,14.969432930711914,29.09,3.5809048040930285,0.9247183567308312,18.61130017542137,6111
square_103079215136,-37.72972654226268,144.78771040832248,34.496165474642396,18.857034311022513,31.049999999999997,28.899292239820383,11.904955026686387,27.935000000000002,3.4430168034785438,1.357865911484428,12.927141828348505,3076
square_103079215138,-37.72833735505698,144.79491077706552,41.31176905270655,30.262710477024378,33.875,36.69025998542112,17.716190286456513,32.5,4.371609891799101,0.9743942482740281,11.369178032763532,5616
square_103079215140,-37.728351961286904,144.8012010266926,51.87939013611455,45.76115978697212,39.05,41.09823051087149,20.518217681426076,37.9,4.8972441154211594,0.6495258176854017,8.685978214601379,5657
square_103079215142,-37.72957558179756,144.80951413751063,84.22699213212363,81.54181783834548,51.825,34.31388458122165,16.69250401213909,32.6,4.088761563973012,0.6607526649107799,10.680468247235613,7054
square_103079215144,-37.729986925747355,144.8154009358727,167.37689247830278,124.73085206673211,115.0,28.66324438641363,16.527409026869673,26.93,3.415579126518051,0.568244720464435,15.274513320154291,4148
square_103079215147,-37.72936787826641,144.82366211026132,108.67055050987891,99.35822220200559,62.45,37.71507488846399,18.678598488867834,34.6,4.494454643682282,0.719339476248317,9.994036481835563,6276
