square_id,datetime_hour,mean_latency,mean_throughput,mean_transfer,mean_ul_dl_ratio,mean_speed,latitude,longitude,observation_count,hour_of_day,day_of_week,date
square_103079215126,2022-07-06 09:00:00,90.77763157894736,30.166666666666668,3.597493146929825,0.5800538392678259,38.350761122807015,-37.7287970877193,144.74975012280703,57,9,2,2022-07-06
square_103079215126,2022-07-06 10:00:00,69.4484251968504,42.221102362204725,5.030381705216535,0.6894802776093848,38.78588185826772,-37.72895000787402,144.74961897637795,127,10,2,2022-07-06
square_103079215126,2022-07-06 13:00:00,54.910000000000004,14.3,1.7060000000000002,0.14093959731543623,12.830285600000002,-37.7299338,144.74973,5,13,2,2022-07-06
square_103079215126,2022-07-13 10:00:00,51.76381578947369,45.11184210526316,5.375131578947368,0.5051363088424656,33.48937484210526,-37.72907214473684,144.7495422368421,76,10,2,2022-07-13
square_103079215126,2022-07-13 12:00:00,114.91764705882352,55.311764705882354,6.591764705882353,0.2361156862267387,50.07241505882353,-37.728878264705884,144.7497753235294,34,12,2,2022-07-13
square_103079215126,2022-07-14 09:00:00,135.29535714285714,31.66314285714286,3.772714285714286,0.2088767259715208,32.07010508571429,-37.729167600000004,144.74958215714287,70,9,3,2022-07-14
square_103079215126,2022-07-20 10:00:00,77.12808988764044,26.255393258426967,3.127367889747191,1.9065238007380592,32.48310197752809,-37.72918158426966,144.7495954494382,89,10,2,2022-07-20
square_103079215126,2022-07-20 11:00:00,72.93666666666667,7.627555555555555,0.9087829861111112,0.0,28.3067088,-37.73011844444444,144.7496606,45,11,2,2022-07-20
square_103079215126,2022-07-20 13:00:00,118.72833333333332,60.303555555555555,7.186871527777777,0.2104498147182082,45.47783546666667,-37.72864471111111,144.74982317777778,45,13,2,2022-07-20
square_103079215128,2022-07-06 12:00:00,180.97692307692307,28.54692307692308,3.4015384615384616,0.19379934578953245,28.692751076923077,-37.725118307692306,144.76001730769232,13,12,2,2022-07-06
square_103079215128,2022-07-14 09:00:00,102.66785714285713,30.767857142857142,3.6675,0.14019841722006693,46.418395714285715,-37.72491567857143,144.75932482142858,28,9,3,2022-07-14
square_103079215130,2022-07-06 06:00:00,62.24285714285714,49.49952380952381,5.899789806547619,0.30337845800664287,19.885629523809524,-37.72574983333333,144.76807533333334,42,6,2,2022-07-06
square_103079215130,2022-07-06 09:00:00,218.15277777777777,15.91111111111111,1.8966666666666667,0.2737382411886127,29.18628533333333,-37.725161666666665,144.76827344444445,9,9,2,2022-07-06
square_103079215130,2022-07-06 11:00:00,214.330608365019,31.734697302756658,3.782518937143536,0.19802285580392845,4.996273490494296,-37.72500006844106,144.767191486692,263,11,2,2022-07-06
square_103079215130,2022-07-06 12:00:00,167.96469465648855,16.57158486402672,1.9743320610687023,0.31804978400167133,28.4820493740458,-37.72576469465649,144.76726866412213,131,12,2,2022-07-06
square_103079215130,2022-07-14 09:00:00,101.04934210526316,24.623684210526317,2.9326315789473685,0.3666782501041755,48.91044273684211,-37.725684868421055,144.7658183157895,38,9,3,2022-07-14
square_103079215130,2022-07-15 10:00:00,360.0,15.709999999999999,1.8704375,0.821175731507348,18.469996000000002,-37.7308096,144.7653018,5,10,4,2022-07-15
square_103079215130,2022-07-20 09:00:00,298.3712121212121,13.638787878787879,1.6251917613636362,0.4262530856154729,14.67625818181818,-37.72588607575757,144.76804165151515,66,9,2,2022-07-20
square_103079215130,2022-07-20 11:00:00,44.29017857142857,22.346071428571427,2.661285574776786,1.3502987455794049,13.415127357142856,-37.725773839285715,144.76806010714284,56,11,2,2022-07-20
square_103079215132,2022-07-06 05:00:00,73.34058704453442,21.494615384615386,2.561254269989879,1.0635356230192132,10.373014510121457,-37.72581444534413,144.77029633198381,247,5,2,2022-07-06
square_103079215132,2022-07-06 06:00:00,67.2967469879518,26.839566265060242,3.1974386295180723,1.3316389029180777,10.804675103614459,-37.72626081204819,144.7728267759036,415,6,2,2022-07-06
square_103079215132,2022-07-06 09:00:00,187.6796875,14.670833333333334,1.748134765625,0.3957850438468015,35.80668375,-37.72662116666667,144.77310329166667,48,9,2,2022-07-06
square_103079215132,2022-07-06 12:00:00,156.36781697341513,36.33213238113497,4.330007229358385,0.3608120949666518,9.836136748466258,-37.72576641820041,144.77285278732106,978,12,2,2022-07-06
square_103079215132,2022-07-14 09:00:00,62.13671875,28.896875,3.4440625000000002,0.2784133460811093,53.03722875,-37.72650665625,144.772636625,32,9,3,2022-07-14
square_103079215132,2022-07-15 06:00:00,283.7195652173913,16.77382608695652,1.9984099864130436,0.7795669072201452,4.6239447652173915,-37.730549565217395,144.77524760869565,115,6,4,2022-07-15
