epoch,train_loss,val_loss
1,0.20499327778816223,0.15547887980937958
2,0.0857040286064148,0.06791452318429947
3,0.0424584299325943,0.04003950580954552
4,0.04958631843328476,0.03898512199521065
5,0.05662597343325615,0.03725769370794296
6,0.04776086285710335,0.03519325703382492
7,0.04878164082765579,0.03444264456629753
8,0.040207669138908386,0.03391307219862938
9,0.039522599428892136,0.03317919746041298
10,0.03874833881855011,0.03280746191740036
11,0.048786379396915436,0.032432373613119125
12,0.048028793185949326,0.032159965485334396
13,0.045428045094013214,0.03174235671758652
14,0.037713129073381424,0.03144771605730057
15,0.045041169971227646,0.03098512627184391
16,0.0398712232708931,0.03069477155804634
17,0.04368598759174347,0.030635442584753036
18,0.048916783183813095,0.031189262866973877
19,0.04122190549969673,0.031084759160876274
20,0.04335416480898857,0.030056573450565338
21,0.03990085422992706,0.02952740341424942
22,0.04392329975962639,0.030177468433976173
23,0.0452098548412323,0.031206164509058
24,0.041961394250392914,0.03246285766363144
25,0.042248114943504333,0.030909065157175064
26,0.04242963343858719,0.02984734997153282
27,0.047416482120752335,0.029371794313192368
28,0.043400127440690994,0.029905375093221664
29,0.044404756277799606,0.030689852312207222
30,0.048653386533260345,0.03126627579331398
31,0.042944539338350296,0.030818235129117966
32,0.042364560067653656,0.031202934682369232
33,0.041389212012290955,0.031615324318408966
34,0.04503479599952698,0.029110237956047058
35,0.04817688465118408,0.028367167338728905
36,0.04479045048356056,0.02977016754448414
37,0.041390907019376755,0.03074871376156807
38,0.04926968365907669,0.030278513208031654
39,0.049403902143239975,0.030178626999258995
40,0.04738656058907509,0.02865741029381752
41,0.03917183727025986,0.029641373082995415
42,0.04205138608813286,0.028687454760074615
43,0.040967907756567,0.02857639081776142
44,0.04026477783918381,0.026970550417900085
45,0.039838820695877075,0.026562239974737167
46,0.0389576219022274,0.02689223550260067
47,0.043235503137111664,0.02871343120932579
48,0.041726090013980865,0.027941135689616203
49,0.04455035552382469,0.02657748945057392
50,0.03802857920527458,0.025965571403503418
51,0.043691135942935944,0.028250331059098244
52,0.04365513473749161,0.02797318622469902
53,0.043909087777137756,0.026615045964717865
54,0.04103077948093414,0.026039306074380875
55,0.04189310595393181,0.026584982872009277
56,0.040795501321554184,0.029645144939422607
57,0.04355769604444504,0.026250898838043213
58,0.038159821182489395,0.02550455555319786
59,0.03524593263864517,0.027922485023736954
60,0.04530445858836174,0.024464748799800873
61,0.0402757003903389,0.022713199257850647
62,0.041886866092681885,0.022913865745067596
63,0.03683410584926605,0.024973565712571144
64,0.0449848510324955,0.025033332407474518
65,0.04079142585396767,0.02318572625517845
66,0.03755757957696915,0.022364730015397072
67,0.037802811712026596,0.02330000139772892
68,0.04383532330393791,0.02321167290210724
69,0.03724635764956474,0.02252950333058834
70,0.03901237994432449,0.022951558232307434
71,0.03523411601781845,0.024552473798394203
72,0.03714073821902275,0.02378639206290245
73,0.0373736247420311,0.02305510826408863
74,0.043432436883449554,0.022700199857354164
75,0.04133917763829231,0.027260195463895798
76,0.05085006356239319,0.026275180280208588
