epoch,train_loss,val_loss
1,0.018858401104807854,0.03599339351058006
2,0.011183436959981918,0.04177764430642128
3,0.009868127293884754,0.05101354420185089
4,0.009610616602003574,0.047730181366205215
5,0.010088100098073483,0.04207436740398407
6,0.008613995276391506,0.044056329876184464
7,0.008708157576620579,0.04684402421116829
8,0.008583844639360905,0.04514005407691002
9,0.009013166651129723,0.04518118500709534
10,0.010333944112062454,0.04373425617814064
11,0.007901240140199661,0.04191939905285835
