kmeans_cluster,datetime_hour,svr1,upload_bitrate_mbps,download_bitrate_mbps,target_latency,target_throughput,latency_lag_1h,throughput_lag_1h,latency_rolling_3h,throughput_rolling_3h,latency_rolling_6h,throughput_rolling_6h,hour_sin,hour_cos,dow_sin,dow_cos,hour_of_day,day_of_week
0,2022-07-03 19:00:00,53.748858426094415,11.794191606872136,14.664049971854483,131.3516921646468,25.59580346759241,65.90421019911007,26.45824157872662,65.90421019911007,26.45824157872662,65.90421019911007,26.45824157872662,-0.9659258262890684,0.2588190451025203,-0.7818314824680299,0.6234898018587334,19,6
0,2022-07-03 20:00:00,63.44788146093298,12.656448620468629,14.058315174593508,52.210271154484104,24.273199180731037,57.00617278447345,26.105615296881762,62.7013157854086,26.41018954597195,62.7013157854086,26.41018954597195,-0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334,20,6
0,2022-07-03 21:00:00,44.349891694867075,11.205234020118306,13.7872259133009,81.80341008652765,21.54860130940442,54.9039635944871,26.760648141204523,54.096867457567555,25.360828799926953,54.096867457567555,25.360828799926953,-0.7071067811865477,0.7071067811865474,-0.7818314824680299,0.6234898018587334,21,6
0,2022-07-03 22:00:00,72.8709870511882,10.523414981159643,16.109103411994983,71.4096059351218,24.244900769234736,78.79809240418048,28.519931409053907,79.12143576176172,28.26231189744751,78.60324268945449,28.30735097394296,-0.5000000000000004,0.8660254037844384,-0.7818314824680299,0.6234898018587334,22,6
0,2022-07-03 23:00:00,52.75185914503643,11.238713422144048,13.4756762917196,100.60333672874935,27.945223613007304,78.6374225866607,26.107535043203356,71.93140471155095,25.78404998111811,70.84291866336108,26.077426148472355,-0.2588190451025215,0.965925826289068,-0.7818314824680299,0.6234898018587334,23,6
0,2022-07-04 00:00:00,218.01612762579188,7.3284313258005325,13.2820881192624,93.17991728346638,21.678286292521666,87.8080932429564,26.674450344062258,144.67366726508092,22.070596831477598,128.30432343840144,23.357292462680707,0.0,1.0,0.0,1.0,0,0
0,2022-07-04 01:00:00,86.37970739282162,11.513555729501567,11.994103677186754,87.76666979797335,27.27262683455819,160.5525475445484,19.39779486586368,104.17621735358914,22.679816950831256,96.01690440265124,23.092612417578877,0.2588190451025207,0.9659258262890684,0.0,1.0,1,0
0,2022-07-04 02:00:00,76.20299558573231,11.12516641919175,14.792786271806532,90.55212933916374,30.791745216154542,99.6407715085373,23.90079921338806,99.37536354176356,24.729207605509586,90.8698611422489,24.89715289004673,0.4999999999999999,0.8660254037844387,0.0,1.0,2,0
0,2022-07-04 03:00:00,82.0581130562698,11.766279721849545,21.249586991392082,89.89387162141274,20.3522300965833,77.49461791900406,25.19686688010287,91.66798962515973,28.62149252484911,90.07381962603934,28.44251468699259,0.7071067811865476,0.7071067811865476,0.0,1.0,3,0
0,2022-07-04 04:00:00,73.41200973255238,2.056329838506926,6.153397247582853,78.41576369910055,29.072104663522346,102.07882267021748,37.14780064783195,87.85029266001594,23.34532661524087,89.18300018417793,23.671209614860143,0.8660254037844386,0.5000000000000001,0.0,1.0,4,0
0,2022-07-04 19:00:00,55.23627527812937,10.583663012000324,15.619078864736283,72.79084144749135,25.88567547443236,68.47774568098697,17.49544656436336,69.827546666465,24.47523217977256,73.56239289120042,24.545305364136365,-0.9659258262890684,0.2588190451025203,0.0,1.0,19,0
0,2022-07-04 20:00:00,73.36553969803626,10.585490375452247,13.357172000063484,62.0187756188225,25.135860558068096,87.95270147614508,25.30022582165228,88.19268881477728,24.246891652200286,89.89138690683517,24.45984955183244,-0.8660254037844386,0.5000000000000001,0.0,1.0,20,0
0,2022-07-04 21:00:00,54.94902646667014,11.205233716942276,15.293223858304174,64.01839149021804,24.510332129705585,93.95478231316521,23.334273151955646,80.94626615540969,24.973054639518487,83.32315030839807,24.900634591574576,-0.7071067811865477,0.7071067811865474,0.0,1.0,21,0
0,2022-07-04 22:00:00,83.97148788553471,9.156255675921534,13.194524555297358,67.44388453609213,21.083646350040674,72.8017633861557,28.83624621690641,80.77119624244129,24.61784152992961,83.2274684628594,25.532023495567284,-0.5000000000000004,0.8660254037844384,0.0,1.0,22,0
0,2022-07-04 23:00:00,47.46660127926821,9.349113317310369,11.738954954199324,73.09803951728546,29.89522514141559,90.85897515484831,21.86482322125303,75.86294845069185,23.450402083475595,76.67130357138838,23.80340979042581,-0.2588190451025215,0.965925826289068,0.0,1.0,23,0
0,2022-07-05 00:00:00,47.54436961701521,11.218099932177974,14.230970902863298,78.94385148257247,28.22979989139354,66.706399683386,21.927109109082142,61.97801681104731,23.445076446848258,63.78031277850599,23.68392850635515,0.0,1.0,0.7818314824680298,0.6234898018587336,0,1
0,2022-07-05 01:00:00,56.41166648260157,9.951089346426317,14.571143158737474,55.09027731044753,30.70574055213287,58.301410887750635,27.16251563946137,68.56104499864269,25.30616015394094,65.38161891239034,25.11700922520982,0.2588190451025207,0.9659258262890684,0.7818314824680298,0.6234898018587336,1,1
0,2022-07-05 02:00:00,68.97311589987679,11.115776562012728,21.999393279851862,90.27023220879879,38.803308685397575,67.77560737293241,25.722188251705106,78.37598684962951,27.33417676347841,80.21988989138951,27.114893957966956,0.4999999999999999,0.8660254037844387,0.7818314824680298,0.6234898018587336,2,1
0,2022-07-05 03:00:00,96.89968873929841,8.660835566042604,34.913823731557336,58.33721997000087,26.99711475882517,83.72435222035743,35.89261361626427,90.6541251539252,37.663243017964824,93.14680567992592,33.60327921707547,0.7071067811865476,0.7071067811865476,0.7818314824680298,0.6234898018587336,3,1
